loop_id	category	n_genes	genes	in_dualhigh17	tier	mean_d	mean_coex	n_active
PFL_PI3K_003	PFL_PI3K	2	COPS3,FOXO3			0.015	0.004	2
PFL_PI3K_004	PFL_PI3K	3	AKT1,YBX1,HIF1A			0.628	0.157	3
PFL_RES_001	PFL_RES	2	CARM1,DNM1L				
PFL_RES_002	PFL_RES	2	HSPA8,HSF1				
PFL_RES_004	PFL_RES	4	EP300,CMTM6,IGF2BP1,MYC			0.703	0.075	3
PFL_RES_005	PFL_RES	4	HLF,STAT3,TFEB,CD274			-0.493	0.084	0
PFL_RES_006	PFL_RES	2	METTL14,ANKRD22				
PFL_RES_007	PFL_RES	4	ESR2,DCAF8,PTEN,AKT1			-0.053	0.08	2
PFL_RES_008	PFL_RES	2	IGF2BP2,SLC7A5				
PFL_RES_010	PFL_RES	3	STAT3,HOXD-AS2,IGF2BP2			0.56	0.023	3
PFL_RES_012	PFL_RES	3	CSF3R,JAK2,STAT3			0.043	0.321	2
PFL_RES_013	PFL_RES	2	TRIM59,RBPJ				
PFL_RES_014	PFL_RES	3	DLGAP5,MYC,USP11			1.306	0.062	4
PFL_RES_015	PFL_RES	2	SNHG4,RREB1				
PFL_RES_016	PFL_RES	2	NFKB1,AKT1			0.159	0.296	2
PFL_RES_017	PFL_RES	4	STAT3,AKR1C3,NFKB1,TRAF6			0.146	0.148	3
PFL_RES_018	PFL_RES	2	NNMT,EGR1				
PFL_STAT3_001	PFL_STAT3	4	STAT3,NFATC2,SERPINE1,JAK3			0.424	0.312	2
PFL_STAT3_002	PFL_STAT3	4	STAT3,IGF2BP3,IL6ST,JAK2			0.28	0.245	2
PFL_STAT3_003	PFL_STAT3	3	STAT3,PRDX2,PKM			0.866	0.113	4
PFL_STAT3_004	PFL_STAT3	4	STAT3,TTC13,CTNNB1,IL6				
PFL_STAT3_005	PFL_STAT3	3	STAT3,MAD2L1,TYK2			1.355	0.118	5
PFL_STAT3_006	PFL_STAT3	3	STAT3,TPT1-AS1,ITGB3			0.531	0.101	3
PFL_STAT3_007	PFL_STAT3	3	STAT3,METTL3,WTAP			0.73	0.236	3
PFL_STAT3_008	PFL_STAT3	2	STAT3,PRMT5			0.757	0.185	2
PFL_STAT3_009	PFL_STAT3	2	STAT3,LINC00662			0.308	0.076	1
PFL_STAT3_010	PFL_STAT3	4	STAT3,FUT8,HSP90B1,MUC1			0.97	0.224	4
PFL_STAT3_011	PFL_STAT3	3	STAT3,LINC00501,HSP90B1			0.794	0.087	4
PFL_TGFB_001	PFL_TGFB	3	KIF26B,IL6,STAT3				
PFL_TGFB_002	PFL_TGFB	3	ERN1,IL6,AR				
PFL_TGFB_003	PFL_TGFB	2	ADAMTS16,TGFB1				
PFL_TGFB_004	PFL_TGFB	3	ZEB1,USP33,TGFBR2			-0.066	0.346	3
PFL_TGFB_005	PFL_TGFB	3	SDC4,TGFB1,TGFBR3				
PFL_TGFB_006	PFL_TGFB	2	SLC14A1,TGFBR2			-0.545	0.357	1
PFL_TGFB_007	PFL_TGFB	2	DRD2,MAPK3			-0.27	0.061	1
PFL_TGFB_008	PFL_TGFB	2	TPH1,CTNNB1			0.195	-0.004	2
PFL_TME_001	PFL_TME	2	NUPR1,LDHA			0.511	-0.113	3
PFL_TME_002	PFL_TME	2	GPNMB,CD44				
PFL_TME_003	PFL_TME	2	MAPK4,MIF				
PFL_TME_005	PFL_TME	3	CSF1,CCL18,ZEB1				
PFL_TME_006	PFL_TME	3	CXCL8,STAT1,IL10				
PFL_TME_007	PFL_TME	2	TGFB1,CCL5				
PFL_TME_008	PFL_TME	3	CXCL1,EGF,NFKB1				
PFL_TME_009	PFL_TME	3	RUNX1,CCL2,PDGFB				
PFL_TME_010	PFL_TME	3	IL10,LCN2,VEGFC				
PFL_TME_011	PFL_TME	5	TGFB1,CAP2,IL10,JUN,MAP3K7				
PFL_TME_012	PFL_TME	3	MRO,HNRNPU,CCL5				
PFL_TME_013	PFL_TME	2	LATS1,FUS				
PFL_TME_014	PFL_TME	3	TPH1,HTR3A,NLRP3				
